data_captura,conjunto,arquivo_origem,registro_hash,auditor,bairro,bairro_resp,categ_reg,cd_cvm,cep,cep_resp,cnpj_auditor,cnpj_cia,compl,compl_resp,controle_acionario,ddd_fax,ddd_fax_resp,ddd_tel,ddd_tel_resp,denom_comerc,denom_social,dt_cancel,dt_const,dt_ini_categ,dt_ini_resp,dt_ini_sit,dt_ini_sit_emissor,dt_reg,email,email_resp,fax,fax_resp,logradouro,logradouro_resp,motivo_cancel,mun,mun_resp,pais,pais_resp,resp,setor_ativ,sit,sit_emissor,tel,tel_resp,tp_ender,tp_merc,tp_resp,uf,uf_resp
2026-06-18,cvm_cadastro_companhias_abertas,,c7c0e0fb8a3d267c8cb17c07,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,ALPHAVILLE,BELA VISTA,Categoria A,15270,6455000,1310916,49.928.567/0001-11,34.033.779/0001-63,PARTE A,1374,PRIVADO,11,11,11,11,AYMORÉ LEASING,ABN AMRO ARRENDAMENTO MERCANTIL SA,2009-09-30,1970-01-06,2010-01-01,2009-08-12,2009-09-30,,1995-12-20,rubens.rossi@br.abnamro.com,cgalan@santander.com.br,3174-62-57,3174-67-51,"ALAMEDA ARAGUAIA, 731 PAV.SUP.",AVENIDA PAULISTA,ELISÃO POR INCORPORAÇÃO,BARUERI,SÃO PAULO,BRASIL,,CARLOS ALBERTO LÓPEZ GALÁN,Arrendamento Mercantil,CANCELADA,,3174-65-07,3174-96-11,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,e6070026eefa8774642f0ef6,RUHTRA S/C,PINHEIROS,PINHEIROS,,14370,5425902,5425902,33.017.310/0001-78,44.597.052/0001-62,,,PRIVADO,11,11,11,11,ABRIL SA,ABRIL SA,1999-12-21,,,1994-05-06,1999-12-21,,1994-05-06,jaugusto@abril.com.br,jaugusto@abril.com.br,3037-20-40,3037-20-40,AV OTAVIANO ALVES DE LIMA 7221,"AV NAÇÕES UNIDAS, 7221/2º AND",ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,SÃO PAULO,SÃO PAULO,BRASIL,,JOSE AUGUSTO PINTO MOREIRA,Gráficas e Editoras,CANCELADA,,3037-20-10,3037-20-10,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,d218348b50e226047e10da69,TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES,IBIRAPUERA,VILA OLÍMPIA,Categoria A,20206,4028002,4547005,00.326.016/0001-99,07.794.351/0001-60,2332/T. 1/ 11ANDAR,6º ANDAR,PRIVADO,,11,11,11,ABYARA,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,2010-05-28,2006-01-04,2010-01-01,2009-06-08,2010-05-28,,2006-07-24,ri@abyara.com.br,ri@abyara.com.br,,3296-02-01,AVENIDA IBIRAPUERA,"RUA GOMES DE CARVALHO, 1510",CANCELAMENTO VOLUNTÁRIO,SÃO PAULO,SÃO PAULO,BRASIL,,MARCOS YUITI MORI,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",CANCELADA,,3296-02-02,3296-02-02,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,5d05d51bf48e958af2f6626a,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,Distrito de Pequiá,Santa Efigênia,Categoria B,26425,6593-00-00,3011-00-22,61.562.112/0001-20,07.636.657/0001-99,"Gleba Itinga,Lote 71",19º andar,PRIVADO,99,,99,31,AÃO VERDE DO BRASIL S.A,ACO VERDE DO BRASIL S.A,,1985-05-07,2021-11-29,2021-08-09,2021-11-29,2021-08-17,2021-11-29,ri@ferroeste.com.br,ri@ferroeste.com.br,5355139,,"Rodovia BR 222, Km 14,5",Avenida do Contorno 3800,,AÇAILÂNDIA,BELO HORIZONTE,BRASIL,,Gustavo Rozenbaum Bcheche,Metalurgia e Siderurgia,ATIVO,FASE OPERACIONAL,5355122,3228-25-00,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,MA,MG
2026-06-18,cvm_cadastro_companhias_abertas,,b40615c964d6bb5d4db32b50,WALTER HEUER AUDITORES INDEPENDENTES,N.S.FATIMA,CORAçAO JESUS,,60,3925-00-00,3038-03-20,61.411.393/0001-10,18.451.005/0001-04,,,PRIVADO,31,31,31,31,ACOPALMA CIA INDL ACOS V PALMA,ACOPALMA CIA INDL ACOS V PALMA,2007-08-07,1973-03-15,,1978-05-09,2007-08-07,,1978-05-09,,maatoledo@uol.com.br,3344-25-96,3344-25-96,ALAMEDA LOURIVAL BOECHAT 550,"RUA ALVES DO VALE, 14",CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,VÁRZEA DA PALMA,BELO HORIZONTE,BRASIL,,MILTON ALENCAR ASSIS DE TOLEDO,Metalurgia e Siderurgia,CANCELADA,,3335-25-90,3335-25-90,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,MG,MG
2026-06-18,cvm_cadastro_companhias_abertas,,d90410755d75381828d2f582,RUHTRA S/C,,,,78,4669900,4719000,33.017.310/0001-78,61.150.660/0001-43,,,PRIVADO,,0011,11,11,ANHANGUERA,ACOS ANHANGUERA SA,1994-02-09,,,1971-10-20,1994-02-09,,1971-10-20,,,,,AV INTERLAGOS 4455 JD.UMUARAMA,RUA VERBO DIVINO 1661,ELISÃO POR INCORPORAÇÃO,SÃO PAULO,SÃO PAULO,BRASIL,,LUIS ROBERTO DE M. JUNQUEIRA,Metalurgia e Siderurgia,CANCELADA,,5253322,2461222,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,10e2d8bb3653daeb3bea8a41,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,,,,86,9220000,1013000,49.928.567/0001-11,60.890.688/0001-54,,,PRIVADO,,0011,11,11,ACOS DO BRASIL,ACOS DO BRASIL SA IND E COM,1989-12-14,,,1972-08-16,1989-12-14,,1972-08-16,,,,,R DR JULIO PIGNATARI 109,R XV DE NOVEMBRO 324,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,SANTO ANDRÉ,SÃO PAULO,BRASIL,,RUY MARQUES,Metalurgia e Siderurgia,CANCELADA,,4491022,2390711,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,257ff29b74f0f45ddd2535d5,ARTHUR ANDERSEN BIEDERMANN A I,,,,14508,9022-00-05,9022-00-05,44.038.248/0001-17,92.767.409/0001-56,,,PRIVADO,51,0051,51,51,PIRATINI,AÇOS FINOS PIRATINI S/A,1995-09-05,,,1994-07-21,1995-09-05,,1994-07-21,,,3302695,3302695,"AV FARRAPOS, 1811","AV FARRAPOS, 1811",ELISÃO POR INCORPORAÇÃO,PORTALEGRE,PORTALEGRE,BRASIL,,FREDERICO C.GERDAU JOHANNPETER,Metalurgia e Siderurgia,CANCELADA,,3302777,3302777,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RS,RN
2026-06-18,cvm_cadastro_companhias_abertas,,ab2b6d28963120b69e60c574,ROBERTO DREYFUSS & CIA SC,,,,10715,4669000,4719000,60.815.016/0001-84,60.852.316/0001-33,,,PRIVADO,,0011,11,11,ACOS IPANEMA,ACOS IPANEMA (VILLARES) SA,1993-01-11,,,1977-10-20,1993-01-11,,1977-10-20,,,,,AV. INTERLAGOS 4455,RUA VERBO DIVINO NR 1661,ELISÃO POR INCORPORAÇÃO,SÃO PAULO,SÃO PAULO,BRASIL,,LUIS ROBERTO DE M. JUNQUEIRA,Metalurgia e Siderurgia,CANCELADA,,5253322,2461222,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,132814dd4b82a6b714b493a1,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,Pinheiros,FLORESTA,Categoria A,108,5425070,9022-00-05,49.928.567/0001-11,60.664.810/0001-74,5º ANDAR,Nº 1811,ESTRANGEIRO,51,51,051,51,ACOS VILLARES,AÇOS VILLARES SA,2010-12-30,1944-08-18,2010-01-01,2009-04-28,2010-12-30,1969-05-16,1969-05-16,inform@gerdau.com.br,inform@gerdau.com.br,3323-22-81,3323-22-81,"Avenida das Nações Unidas, 8501",AV. FARRAPOS,ELISÃO POR INCORPORAÇÃO,SÃO PAULO,PORTO ALEGRE,BRASIL,,OSVALDO BURGOS SCHIRMER,Metalurgia e Siderurgia,CANCELADA,FASE OPERACIONAL,3323-22-11,3323-22-11,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,RS
2026-06-18,cvm_cadastro_companhias_abertas,,18700cba7804ea8c2c5a7642,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,COPEC,,,116,4281-00-00,4181-00-00,61.366.936/0001-25,13.546.353/0001-33,,,PRIVADO,71,0071,71,71,ACRINOR,ACRINOR ACRILONITRILA DO NE SA,2000-02-21,,,1981-12-23,2000-02-21,,1981-12-23,,,8322137,8322137,"RUA DO HIDROGENIO, 824","RUA DO HIDROGENIO, 824",ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CAMAÇARI,CAMAÇARI,BRASIL,,NELSON MAGALHÃES GRAÇA,Petroquímicos e Borracha,CANCELADA,,8342455,8342500,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,BA,BA
2026-06-18,cvm_cadastro_companhias_abertas,,d3715fb87f8c8af3ef4938cd,MANDARINO & ASSOCIADOS AUDITORES,Centro,CENTRO,Categoria B,20230,2101-10-20,2101-10-20,05.502.678/0001-96,07.825.881/0001-29,5o andar,5 ANDAR,PRIVADO,21,21,21,21,ACRUX SECURITIZADORA S/A,ACRUX SECURITIZADORA S/A,2016-02-04,2006-01-02,2010-01-01,2011-12-05,2016-02-04,2006-08-09,2006-08-09,securitizadora@acruxcapital.com,securitizadora@acruxcapital.com,2252-45-18,2252-45-18,Rua do Carmo 71,RUA DO CARMO 71,CANCELAMENTO VOLUNTÁRIO,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,JORGE HENRIQUE DA SILVA,Securitização de Recebíveis,CANCELADA,FASE OPERACIONAL,2505-25-00,2505-25-00,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,0369f7ee3927ad263ddfa794,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ITAIM BIBI,ITAIM BIBI,,18040,4538905,4538905,61.562.112/0001-20,02.808.627/0001-07,"9, 7º ANDA","9, 7º ANDA",PRIVADO HOLDING,11,11,11,11,ACTORI PARTICIPAÇÕES S.A.,ACTORI PARTICIPAÇÕES SA,2002-04-24,1998-09-14,,1998-12-09,2002-04-24,,1998-12-09,valdo.gomes@gp.com.br,mara.elisa@gp.com.br,3049-55-11,3049-55-11,"AV. BRIGADEIRO FARIA LIMA, 372","AV. BRIGADEIRO FARIA LIMA, 372",ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,SÃO PAULO,SÃO PAULO,BRASIL,,FERSEN LAMAS LAMBRANHO,Emp. Adm. Participações,CANCELADA,,3049-55-55,3049-55-82,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,f2c949b9618f10d5e19ec4c9,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,Zona Rural,PINHEIROS,Categoria A,20940,1540-00-00,5426100,49.928.567/0001-11,47.080.619/0001-17,Km 155,CONJ 132 13º ANDAR,PRIVADO HOLDING,17,11,17,11,AÇUCAR GUARANI S/A,AÇUCAR GUARANI S/A,2010-08-13,1976-01-01,2010-01-01,2007-05-30,2010-08-13,,2007-07-20,ri@aguarani.com.br,ri@aguarani.com.br,3280-13-19,3544-49-44,Rodovia Assis Chateubriand,"AV. BRIG. FARIA LIMA, 201",CANCELAMENTO VOLUNTÁRIO,OLÍMPIA,SÃO PAULO,BRASIL,,REYNALDO FERREIRA BENITEZ,"Agricultura (Açúcar, Álcool e Cana)",CANCELADA,,3280-10-00,3544-49-00,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,1c07c32b6a2a1fbf0de72e57,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,,,,7625,9001-00-00,9001-00-00,61.562.112/0001-20,43.631.183/0001-56,,,PRIVADO,,0512,0512,0512,IOCHPE ARREND MERC,ADEPAR ASSESSORIA ADM SERV SA,1989-08-02,,,1981-04-14,1989-08-02,,1981-04-14,,,,,RUA SETE SETEMBRO 1123/3 ANDAR,RUA SETE SETEMBRO 1123/3 ANDAR,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,PORTO ALEGRE,PORTO ALEGRE,BRASIL,,MAURO KNIJNIK,Emp. Adm. Participações,CANCELADA,,274544,274544,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RS,RS
2026-06-18,cvm_cadastro_companhias_abertas,,c4a2aeaced43e1cb8fcbf3b2,,,,,132,5800-00-00,5800-00-00,,11.029.808/0001-18,,,PRIVADO,,0083,83,83,ADESENE,ADESENE ADESIVOS NO NORDESTE SA,2005-08-09,,,1974-12-10,2005-08-09,,1974-12-10,,,,,R.A-Q.O-L.1 A 5-DIST.INDL.JP,R.A-Q.O-L.1 A 5-DIST.INDL.JP,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,JOÃO PESSOA,JOÃO PESSOA,BRASIL,,FLAVIO RODOLFO PINHEIRO LIMA,Petroquímicos e Borracha,CANCELADA,,2213334,2213334,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,PB,PB
2026-06-18,cvm_cadastro_companhias_abertas,,ba8f675014804b5b33963bb9,ECOPAL AUDITORES INDEPENDENTES,,,,159,6700000,6700000,43.342.997/0001-70,17.157.215/0001-13,,,PRIVADO,,0011,11,11,ADUBOS VIANNA,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,2005-12-20,,,1969-09-22,2005-12-20,,1969-09-22,,,,,"ALAMEDA TANGARA, 1-VILA VIANNA",AL TANGARA 1,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,COTIA,COTIA,BRASIL,,ANTONIO EDUARDO RIBAS VIANNA,Petroquímicos e Borracha,CANCELADA,,4923848,4923840,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,8c34d09ce227533f45cfabac,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA,Pinheiros,PINHEIROS,Categoria A,21725,5425070,5425070,54.276.936/0001-79,10.345.009/0001-98,17º andar,,ESTRANGEIRO,11,0,11,11,HUB COSMÉTICOS S.A.,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,2022-07-12,2008-08-18,2010-01-01,2019-01-17,2022-07-12,2009-06-24,2009-06-24,dri@advanced-dh.com,dri@advanced-dh.com,3434-65-48,0,"Av. Das Nações Unidas, 8501","AV. DAS NAÇÕES UNIDAS, 8501",CANCELAMENTO DE OFÍCIO,SÃO PAULO,SÃO PAULO,BRASIL,,THAISE SAETER,Farmacêutico e Higiene,CANCELADA,FASE PRÉ-OPERACIONAL,3434-65-48,3434-65-48,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,04a1ad8e887702d82055c6e6,KPMG AUDITORES INDEPENDENTES LTDA.,Jardim Paulistano,Jardim Paulistano,Categoria A,23396,1452001,1452001,57.755.217/0001-29,08.827.501/0001-58,"1 andar, sl01","1 andar, sl 01",PRIVADO HOLDING,11,,11,11,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,,2007-03-26,2026-02-25,2020-10-06,2014-05-21,2014-03-11,2014-05-21,dri@aegea.com.br,dri@aegea.com.br,3818-81-66,,"Avenida Brigadeiro Faria Lima, n° 1663","Avenida Brigadeiro Faria Lima, n° 1663",,SÃO PAULO,SÃO PAULO,BRASIL,,André Pires de Oliveira Dias,"Saneamento, Serv. Água e Gás",ATIVO,FASE OPERACIONAL,3818-81-50,3818-81-50,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,b33eabbe91c240bfc493dc45,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA,CIPP,Caucaia,Categoria A,25283,6164-20-00,6164-20-00,54.276.936/0001-79,12.528.708/0001-07,km. 2,CIPP,PRIVADO,85,,85,85,,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,,2020-08-17,2020-11-09,2026-03-27,2020-11-09,2010-08-17,2020-11-09,ri@aerisenergy.com.br,ri@aerisenergy.com.br,3457-22-00,,Rodovia CE-155,"Rodovia CE-155, KM 2",,CAUCAIA,CAUCAIA,BRASIL,,Alexandre Sarnes Negrão,"Máquinas, Equipamentos, Veículos e Peças",ATIVO,FASE OPERACIONAL,3457-22-00,3304-58-58,SEDE,BALCÃO ORGANIZADO,DIRETOR DE RELAÇÕES COM INVESTIDORES,CE,
2026-06-18,cvm_cadastro_companhias_abertas,,e63576afb7f04a2a1aa4d848,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA,CIPP,Caucaia,Categoria A,25283,6164-20-00,6164-20-00,54.276.936/0001-79,12.528.708/0001-07,km. 2,CIPP,PRIVADO,85,,85,85,,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,,2020-08-17,2020-11-09,2026-03-27,2020-11-09,2010-08-17,2020-11-09,ri@aerisenergy.com.br,ri@aerisenergy.com.br,3457-22-00,,Rodovia CE-155,"Rodovia CE-155, KM 2",,CAUCAIA,CAUCAIA,BRASIL,,Alexandre Sarnes Negrão,"Máquinas, Equipamentos, Veículos e Peças",ATIVO,FASE OPERACIONAL,3457-22-00,3304-58-58,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,CE,
