data_captura,tabela_origem,data_referencia,curva,prazo_dias,taxa,base
2026-06-22,DerivativesMarketSwapRates,2026-06-19,DI1,360,13.12,252
2026-06-23,DerivativesMarketSwapRates,2026-06-22,DI1,30,13.65,252
2026-06-23,DerivativesMarketSwapRates,2026-06-22,DI1,360,13.12,252
2026-06-24,DerivativesMarketSwapRates,2026-06-23,DI1,30,13.65,252
2026-06-24,DerivativesMarketSwapRates,2026-06-23,DI1,360,13.12,252
2026-06-25,DerivativesMarketSwapRates,2026-06-24,DI1,30,13.65,252
2026-06-25,DerivativesMarketSwapRates,2026-06-24,DI1,360,13.12,252
2026-06-26,DerivativesMarketSwapRates,2026-06-25,DI1,30,13.65,252
2026-06-26,DerivativesMarketSwapRates,2026-06-25,DI1,360,13.12,252
2026-06-27,DerivativesMarketSwapRates,2026-06-26,DI1,30,13.65,252
2026-06-27,DerivativesMarketSwapRates,2026-06-26,DI1,360,13.12,252
2026-06-28,DerivativesMarketSwapRates,2026-06-26,DI1,30,13.65,252
2026-06-28,DerivativesMarketSwapRates,2026-06-26,DI1,360,13.12,252
2026-06-29,DerivativesMarketSwapRates,2026-06-26,DI1,30,13.65,252
2026-06-29,DerivativesMarketSwapRates,2026-06-26,DI1,360,13.12,252
2026-06-30,DerivativesMarketSwapRates,2026-06-29,DI1,30,13.65,252
2026-06-30,DerivativesMarketSwapRates,2026-06-29,DI1,360,13.12,252
2026-07-01,DerivativesMarketSwapRates,2026-06-30,DI1,30,13.65,252
2026-07-01,DerivativesMarketSwapRates,2026-06-30,DI1,360,13.12,252
2026-07-02,DerivativesMarketSwapRates,2026-07-01,DI1,30,13.65,252
2026-07-02,DerivativesMarketSwapRates,2026-07-01,DI1,360,13.12,252
2026-07-03,DerivativesMarketSwapRates,2026-07-02,DI1,30,13.65,252
2026-07-03,DerivativesMarketSwapRates,2026-07-02,DI1,360,13.12,252
2026-07-04,DerivativesMarketSwapRates,2026-07-03,DI1,30,13.65,252
2026-07-04,DerivativesMarketSwapRates,2026-07-03,DI1,360,13.12,252
2026-07-06,DerivativesMarketSwapRates,2026-07-03,DI1,30,13.65,252
2026-07-06,DerivativesMarketSwapRates,2026-07-03,DI1,360,13.12,252
2026-07-07,DerivativesMarketSwapRates,2026-07-06,DI1,30,13.65,252
2026-07-07,DerivativesMarketSwapRates,2026-07-06,DI1,360,13.12,252
2026-07-08,DerivativesMarketSwapRates,2026-07-07,DI1,30,13.65,252
2026-07-08,DerivativesMarketSwapRates,2026-07-07,DI1,360,13.12,252
2026-07-09,DerivativesMarketSwapRates,2026-07-08,DI1,30,13.65,252
2026-07-09,DerivativesMarketSwapRates,2026-07-08,DI1,360,13.12,252
2026-07-10,DerivativesMarketSwapRates,2026-07-09,DI1,30,13.65,252
2026-07-10,DerivativesMarketSwapRates,2026-07-09,DI1,360,13.12,252
2026-07-13,DerivativesMarketSwapRates,2026-07-10,DI1,30,13.65,252
2026-07-13,DerivativesMarketSwapRates,2026-07-10,DI1,360,13.12,252
2026-07-14,DerivativesMarketSwapRates,2026-07-13,DI1,30,13.65,252
2026-07-14,DerivativesMarketSwapRates,2026-07-13,DI1,360,13.12,252
2026-07-15,DerivativesMarketSwapRates,2026-07-14,DI1,30,13.65,252
2026-07-15,DerivativesMarketSwapRates,2026-07-14,DI1,360,13.12,252
2026-07-16,DerivativesMarketSwapRates,2026-07-15,DI1,30,13.65,252
2026-07-16,DerivativesMarketSwapRates,2026-07-15,DI1,360,13.12,252
2026-07-17,DerivativesMarketSwapRates,2026-07-16,DI1,30,13.65,252
2026-07-17,DerivativesMarketSwapRates,2026-07-16,DI1,360,13.12,252
2026-07-20,DerivativesMarketSwapRates,2026-07-17,DI1,30,13.65,252
2026-07-20,DerivativesMarketSwapRates,2026-07-17,DI1,360,13.12,252
2026-07-21,DerivativesMarketSwapRates,2026-07-20,DI1,30,13.65,252
2026-07-21,DerivativesMarketSwapRates,2026-07-20,DI1,360,13.12,252
2026-07-22,DerivativesMarketSwapRates,2026-07-21,DI1,30,13.65,252
2026-07-22,DerivativesMarketSwapRates,2026-07-21,DI1,360,13.12,252
2026-07-23,DerivativesMarketSwapRates,2026-07-22,DI1,30,13.65,252
2026-07-23,DerivativesMarketSwapRates,2026-07-22,DI1,360,13.12,252
2026-07-24,DerivativesMarketSwapRates,2026-07-23,DI1,30,13.65,252
2026-07-24,DerivativesMarketSwapRates,2026-07-23,DI1,360,13.12,252
2026-07-27,DerivativesMarketSwapRates,2026-07-24,DI1,30,13.65,252
2026-07-27,DerivativesMarketSwapRates,2026-07-24,DI1,360,13.12,252
2026-07-28,DerivativesMarketSwapRates,2026-07-27,DI1,30,13.65,252
2026-07-28,DerivativesMarketSwapRates,2026-07-27,DI1,360,13.12,252
2026-07-29,DerivativesMarketSwapRates,2026-07-28,DI1,30,13.65,252
2026-07-29,DerivativesMarketSwapRates,2026-07-28,DI1,360,13.12,252
2026-07-30,DerivativesMarketSwapRates,2026-07-29,DI1,30,13.65,252
2026-07-30,DerivativesMarketSwapRates,2026-07-29,DI1,360,13.12,252
2026-07-31,DerivativesMarketSwapRates,2026-07-30,DI1,30,13.65,252
2026-07-31,DerivativesMarketSwapRates,2026-07-30,DI1,360,13.12,252
2026-08-03,DerivativesMarketSwapRates,2026-07-31,DI1,30,13.65,252
2026-08-03,DerivativesMarketSwapRates,2026-07-31,DI1,360,13.12,252
2026-08-04,DerivativesMarketSwapRates,2026-08-03,DI1,30,13.65,252
2026-08-04,DerivativesMarketSwapRates,2026-08-03,DI1,360,13.12,252
2026-08-05,DerivativesMarketSwapRates,2026-08-04,DI1,30,13.65,252
2026-08-05,DerivativesMarketSwapRates,2026-08-04,DI1,360,13.12,252
2026-08-06,DerivativesMarketSwapRates,2026-08-05,DI1,30,13.65,252
2026-08-06,DerivativesMarketSwapRates,2026-08-05,DI1,360,13.12,252
2026-08-07,DerivativesMarketSwapRates,2026-08-06,DI1,30,13.65,252
2026-08-07,DerivativesMarketSwapRates,2026-08-06,DI1,360,13.12,252
2026-08-08,DerivativesMarketSwapRates,2026-08-07,DI1,30,13.65,252
2026-08-08,DerivativesMarketSwapRates,2026-08-07,DI1,360,13.12,252
2026-08-10,DerivativesMarketSwapRates,2026-08-07,DI1,30,13.65,252
2026-08-10,DerivativesMarketSwapRates,2026-08-07,DI1,360,13.12,252
2026-08-11,DerivativesMarketSwapRates,2026-08-10,DI1,30,13.65,252
2026-08-11,DerivativesMarketSwapRates,2026-08-10,DI1,360,13.12,252
2026-08-12,DerivativesMarketSwapRates,2026-08-11,DI1,30,13.65,252
2026-08-12,DerivativesMarketSwapRates,2026-08-11,DI1,360,13.12,252
2026-08-13,DerivativesMarketSwapRates,2026-08-12,DI1,30,13.65,252
2026-08-13,DerivativesMarketSwapRates,2026-08-12,DI1,360,13.12,252
