ticker,label,category
PENBRL=X,PEN_BRL,yahoo_cambio_moedas
EURUSD=X,EUR_USD,yahoo_cambio_moedas
GBPUSD=X,GBP_USD,yahoo_cambio_moedas
USDJPY=X,USD_JPY,yahoo_cambio_moedas
AUDUSD=X,AUD_USD,yahoo_cambio_moedas
USDCAD=X,USD_CAD,yahoo_cambio_moedas
USDCHF=X,USD_CHF,yahoo_cambio_moedas
USDCNY=X,USD_CNY,yahoo_cambio_moedas
USDSGD=X,USD_SGD,yahoo_cambio_moedas
USDHKD=X,USD_HKD,yahoo_cambio_moedas
USDMXN=X,USD_MXN,yahoo_cambio_moedas
USDKRW=X,USD_KRW,yahoo_cambio_moedas
USDINR=X,USD_INR,yahoo_cambio_moedas
BTC-USD,BTC,yahoo_criptoativos
ETH-USD,ETH,yahoo_criptoativos
SOL-USD,SOL,yahoo_criptoativos
BNB-USD,BNB,yahoo_criptoativos
XRP-USD,XRP,yahoo_criptoativos
ADA-USD,ADA,yahoo_criptoativos
DOGE-USD,DOGE,yahoo_criptoativos
AVAX-USD,AVAX,yahoo_criptoativos
DOT-USD,DOT,yahoo_criptoativos
LINK-USD,LINK,yahoo_criptoativos
TRX-USD,TRX,yahoo_criptoativos
MATIC-USD,MATIC,yahoo_criptoativos
LTC-USD,LTC,yahoo_criptoativos
SHIB-USD,SHIB,yahoo_criptoativos
UNI-USD,UNI,yahoo_criptoativos
XLM-USD,XLM,yahoo_criptoativos
TON-USD,TON,yahoo_criptoativos
SUI-USD,SUI,yahoo_criptoativos
APT-USD,APT,yahoo_criptoativos
NEAR-USD,NEAR,yahoo_criptoativos
ICP-USD,ICP,yahoo_criptoativos
OP-USD,OP,yahoo_criptoativos
ARB-USD,ARB,yahoo_criptoativos
IMX-USD,IMX,yahoo_criptoativos
RNDR-USD,RNDR,yahoo_criptoativos
CL=F,CRUDE_OIL,yahoo_commodities
BZ=F,BRENT_CRUDE,yahoo_commodities
GC=F,GOLD,yahoo_commodities
SI=F,SILVER,yahoo_commodities
HG=F,COPPER,yahoo_commodities
PL=F,PLATINUM,yahoo_commodities
PA=F,PALLADIUM,yahoo_commodities
NG=F,NATURAL_GAS,yahoo_commodities
ZC=F,CORN,yahoo_commodities
ZS=F,SOYBEANS,yahoo_commodities
ZW=F,WHEAT,yahoo_commodities
KC=F,COFFEE,yahoo_commodities
CC=F,COCOA,yahoo_commodities
SB=F,SUGAR,yahoo_commodities
CT=F,COTTON,yahoo_commodities
ZO=F,OATS,yahoo_commodities
ZR=F,ROUGH_RICE,yahoo_commodities
GF=F,FEEDER_CATTLE,yahoo_commodities
HE=F,LEAN_HOGS,yahoo_commodities
LBS=F,LUMBER,yahoo_commodities
^GSPC,S&P_500,yahoo_indices_globais
^IXIC,NASDAQ,yahoo_indices_globais
^DJI,DOW_JONES,yahoo_indices_globais
^VIX,VIX,yahoo_indices_globais
^BVSP,IBOVESPA,yahoo_indices_globais
^FTSE,FTSE_100,yahoo_indices_globais
^GDAXI,DAX,yahoo_indices_globais
^FCHI,CAC_40,yahoo_indices_globais
^N225,NIKKEI_225,yahoo_indices_globais
^HSI,HANG_SENG,yahoo_indices_globais
^AXJO,S&P_ASX_200,yahoo_indices_globais
^SSMI,SMI,yahoo_indices_globais
^BFX,BEL_20,yahoo_indices_globais
^AORD,ALL_ORDINARIES,yahoo_indices_globais
^MXX,IPC,yahoo_indices_globais
^IPSA,IPSA,yahoo_indices_globais
^MERV,MERVAL,yahoo_indices_globais
^JKSE,JKSE,yahoo_indices_globais
^KLSE,KLSE,yahoo_indices_globais
^STI,STI,yahoo_indices_globais
^KS11,KOSPI,yahoo_indices_globais
^TWII,TAIEX,yahoo_indices_globais
^NZ50,NZX_50,yahoo_indices_globais
^FTMIB,FTSE_MIB,yahoo_indices_globais
FTSEMIB.MI,FTSE_MIB_INDEX,yahoo_indices_globais
^IRX,TREASURY_3M,yahoo_renda_fixa
^FVX,TREASURY_5Y,yahoo_renda_fixa
^TNX,TREASURY_10Y,yahoo_renda_fixa
^TYX,TREASURY_30Y,yahoo_renda_fixa
EWZ,EWZ_IBOV_USD,yahoo_etfs
SMLL.SA,SMALL_CAPS_B3,yahoo_etfs
BND,VANGUARD_BOND_ETF,yahoo_etfs
HYG,HIGH_YIELD_BOND_ETF,yahoo_etfs
LQD,INVEST_GRADE_BOND_ETF,yahoo_etfs
SPY,SPY_S_P_500_ETF,yahoo_etfs
QQQ,QQQ_NASDAQ_ETF,yahoo_etfs
DIA,DIA_DOW_JONES_ETF,yahoo_etfs
IWM,IWM_RUSSELL_2000_ETF,yahoo_etfs
EEM,EEM_EMERGING_MKT_ETF,yahoo_etfs
VGK,VGK_EUROPE_ETF,yahoo_etfs
VWO,VWO_EMERGING_VANGUARD,yahoo_etfs
XLE,XLE_ENERGY_SPDR,yahoo_etfs
XLF,XLF_FINANCIAL_SPDR,yahoo_etfs
XLK,XLK_TECH_SPDR,yahoo_etfs
VUAA.L,VUAA_SP500_UCITS,yahoo_etfs
CSPX.L,CSPX_SP500_UCITS,yahoo_etfs
VWRA.L,VWRA_ALLWORLD_UCITS,yahoo_etfs
IWDA.AS,IWDA_MSCIWORLD_UCITS,yahoo_etfs
EIMI.L,EIMI_EM_UCITS,yahoo_etfs
AGGG.L,AGGG_GLOBALBOND_UCITS,yahoo_etfs
QDVE.DE,QDVE_TECH_UCITS,yahoo_etfs
IFIX.SA,IFIX,yahoo_fiis_fiagros
